Designator,Footprint,Quantity,Value,LCSC Part #
"S1, S2, S3, S4, S5, S6, S7, S8, S9",Hotswap_MX_Plated_1.00u,9,~,
U1,Arduino_Pro_Micro,1,Arduino_Pro_Micro,
