Designator,Mid X,Mid Y,Rotation,Layer
S1,109.8,-95.2,0.0,top
S2,119.32,-76.16,0.0,top
S3,128.84,-95.2,0.0,top
S4,138.36,-76.16,0.0,top
S5,147.88,-95.2,0.0,top
S6,157.4,-76.16,0.0,top
S7,166.92,-95.2,0.0,top
S8,176.44,-76.16,0.0,top
S9,185.96,-95.2,0.0,top
U1,206.58,-85.37,0.0,top
